Score,Country or region,Overall rank,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
5.779,Bolivia,61,0.776,1.209,0.706,0.511,0.137,0.064
5.758,Hungary,62,1.201,1.410,0.828,0.199,0.081,0.020
5.743,Paraguay,63,0.855,1.475,0.777,0.514,0.184,0.080
5.718,Northern Cyprus,64,1.263,1.252,1.042,0.417,0.191,0.162
5.697,Peru,65,0.960,1.274,0.854,0.455,0.083,0.027
5.693,Portugal,66,1.221,1.431,0.999,0.508,0.047,0.025
5.653,Pakistan,67,0.677,0.886,0.535,0.313,0.220,0.098
5.648,Russia,68,1.183,1.452,0.726,0.334,0.082,0.031
5.631,Philippines,69,0.807,1.293,0.657,0.558,0.117,0.107
5.603,Serbia,70,1.004,1.383,0.854,0.282,0.137,0.039
5.529,Moldova,71,0.685,1.328,0.739,0.245,0.181,0.000
5.525,Libya,72,1.044,1.303,0.673,0.416,0.133,0.152
5.523,Montenegro,73,1.051,1.361,0.871,0.197,0.142,0.080
5.467,Tajikistan,74,0.493,1.098,0.718,0.389,0.230,0.144
5.432,Croatia,75,1.155,1.266,0.914,0.296,0.119,0.022
5.430,Hong Kong,76,1.438,1.277,1.122,0.440,0.258,0.287
5.425,Dominican Republic,77,1.015,1.401,0.779,0.497,0.113,0.101
5.386,Bosnia and Herzegovina,78,0.945,1.212,0.845,0.212,0.263,0.006
5.373,Turkey,79,1.183,1.360,0.808,0.195,0.083,0.106
5.339,Malaysia,80,1.221,1.171,0.828,0.508,0.260,0.024
5.323,Belarus,81,1.067,1.465,0.789,0.235,0.094,0.142
5.287,Greece,82,1.181,1.156,0.999,0.067,0.000,0.034
5.285,Mongolia,83,0.948,1.531,0.667,0.317,0.235,0.038
5.274,North Macedonia,84,0.983,1.294,0.838,0.345,0.185,0.034
5.265,Nigeria,85,0.696,1.111,0.245,0.426,0.215,0.041
5.261,Kyrgyzstan,86,0.551,1.438,0.723,0.508,0.300,0.023
5.247,Turkmenistan,87,1.052,1.538,0.657,0.394,0.244,0.028
5.211,Algeria,88,1.002,1.160,0.785,0.086,0.073,0.114
5.208,Morocco,89,0.801,0.782,0.782,0.418,0.036,0.076
5.208,Azerbaijan,90,1.043,1.147,0.769,0.351,0.035,0.182
5.197,Lebanon,91,0.987,1.224,0.815,0.216,0.166,0.027
5.192,Indonesia,92,0.931,1.203,0.660,0.491,0.498,0.028
5.191,China,93,1.029,1.125,0.893,0.521,0.058,0.100
5.175,Vietnam,94,0.741,1.346,0.851,0.543,0.147,0.073
5.082,Bhutan,95,0.813,1.321,0.604,0.457,0.370,0.167
5.044,Cameroon,96,0.549,0.910,0.331,0.381,0.187,0.037
5.011,Bulgaria,97,1.092,1.513,0.815,0.311,0.081,0.004
4.996,Ghana,98,0.611,0.868,0.486,0.381,0.245,0.040
4.944,Ivory Coast,99,0.569,0.808,0.232,0.352,0.154,0.090
4.913,Nepal,100,0.446,1.226,0.677,0.439,0.285,0.089
4.906,Jordan,101,0.837,1.225,0.815,0.383,0.110,0.130
4.883,Benin,102,0.393,0.437,0.397,0.349,0.175,0.082
4.812,Congo (Brazzaville),103,0.673,0.799,0.508,0.372,0.105,0.093
4.799,Gabon,104,1.057,1.183,0.571,0.295,0.043,0.055
4.796,Laos,105,0.764,1.030,0.551,0.547,0.266,0.164
4.722,South Africa,106,0.960,1.351,0.469,0.389,0.130,0.055
4.719,Albania,107,0.947,0.848,0.874,0.383,0.178,0.027
4.707,Venezuela,108,0.960,1.427,0.805,0.154,0.064,0.047
4.700,Cambodia,109,0.574,1.122,0.637,0.609,0.232,0.062
4.696,Palestinian Territories,110,0.657,1.247,0.672,0.225,0.103,0.066
4.681,Senegal,111,0.450,1.134,0.571,0.292,0.153,0.072
4.668,Somalia,112,0.000,0.698,0.268,0.559,0.243,0.270
4.639,Namibia,113,0.879,1.313,0.477,0.401,0.070,0.056
4.628,Niger,114,0.138,0.774,0.366,0.318,0.188,0.102
4.587,Burkina Faso,115,0.331,1.056,0.380,0.255,0.177,0.113
4.559,Armenia,116,0.850,1.055,0.815,0.283,0.095,0.064
4.548,Iran,117,1.100,0.842,0.785,0.305,0.270,0.125
4.534,Guinea,118,0.380,0.829,0.375,0.332,0.207,0.086
4.519,Georgia,119,0.886,0.666,0.752,0.346,0.043,0.164
4.516,Gambia,120,0.308,0.939,0.428,0.382,0.269,0.167
4.509,Kenya,121,0.512,0.983,0.581,0.431,0.372,0.053
4.490,Mauritania,122,0.570,1.167,0.489,0.066,0.106,0.088
4.466,Mozambique,123,0.204,0.986,0.390,0.494,0.197,0.138
4.461,Tunisia,124,0.921,1.000,0.815,0.167,0.059,0.055
4.456,Bangladesh,125,0.562,0.928,0.723,0.527,0.166,0.143
4.437,Iraq,126,1.043,0.980,0.574,0.241,0.148,0.089
4.418,Congo (Kinshasa),127,0.094,1.125,0.357,0.269,0.212,0.053
4.390,Mali,128,0.385,1.105,0.308,0.327,0.153,0.052
4.374,Sierra Leone,129,0.268,0.841,0.242,0.309,0.252,0.045
4.366,Sri Lanka,130,0.949,1.265,0.831,0.470,0.244,0.047
4.360,Myanmar,131,0.710,1.181,0.555,0.525,0.566,0.172
4.350,Chad,132,0.350,0.766,0.192,0.174,0.198,0.078
4.332,Ukraine,133,0.820,1.390,0.739,0.178,0.187,0.010
4.286,Ethiopia,134,0.336,1.033,0.532,0.344,0.209,0.100
4.212,Swaziland,135,0.811,1.149,0.000,0.313,0.074,0.135
4.189,Uganda,136,0.332,1.069,0.443,0.356,0.252,0.060
4.166,Egypt,137,0.913,1.039,0.644,0.241,0.076,0.067
4.107,Zambia,138,0.578,1.058,0.426,0.431,0.247,0.087
4.085,Togo,139,0.275,0.572,0.410,0.293,0.177,0.085
4.015,India,140,0.755,0.765,0.588,0.498,0.200,0.085
3.975,Liberia,141,0.073,0.922,0.443,0.370,0.233,0.033
3.973,Comoros,142,0.274,0.757,0.505,0.142,0.275,0.078
3.933,Madagascar,143,0.274,0.916,0.555,0.148,0.169,0.041
3.802,Lesotho,144,0.489,1.169,0.168,0.359,0.107,0.093
3.775,Burundi,145,0.046,0.447,0.380,0.220,0.176,0.180
3.663,Zimbabwe,146,0.366,1.114,0.433,0.361,0.151,0.089
3.597,Haiti,147,0.323,0.688,0.449,0.026,0.419,0.110
3.488,Botswana,148,1.041,1.145,0.538,0.455,0.025,0.100
3.462,Syria,149,0.619,0.378,0.440,0.013,0.331,0.141
3.410,Malawi,150,0.191,0.560,0.495,0.443,0.218,0.089
3.380,Yemen,151,0.287,1.163,0.463,0.143,0.108,0.077
3.334,Rwanda,152,0.359,0.711,0.614,0.555,0.217,0.411
3.231,Tanzania,153,0.476,0.885,0.499,0.417,0.276,0.147
3.203,Afghanistan,154,0.350,0.517,0.361,0.000,0.158,0.025
3.083,Central African Republic,155,0.026,0.000,0.105,0.225,0.235,0.035
2.853,South Sudan,156,0.306,0.575,0.295,0.010,0.202,0.091
